Date,company name,open,high,low,closing,avg_price_1,std_price_2,avg_volume_19,ROC_30,gold,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/2/2023,Franco-Nevada Corporation,-0.054141305,-0.172040709,-0.11488728,-0.130543348,-0.137210594,0,0,0.276607587,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Gold Fields Limited,-1.484437841,-1.546364758,-1.543426582,-1.571868712,-1.568837664,0,0,-0.19329093,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,AngloGold Ashant,-0.357085874,-0.404911621,-0.349963181,-0.354427962,-0.355678835,0,0,0.009313705,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Kinross Gold Corporation,-1.356688387,-1.464215302,-1.386521291,-1.433661921,-1.434247522,0,0,-0.230375986,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Alamos Gold Inc.,-1.849519084,-1.947750859,-1.826766205,-1.876875035,-1.874687942,0,0,-0.260735719,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Harmony Gold Mining Company Limited,-1.203959289,-1.252453845,-1.271859069,-1.246414664,-1.246958613,0,0,-0.331205715,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Pan American Silver Corp.,0.4314585678333243,0.2884823316912698,0.2708789908560668,0.17117115371454017,0.17139375410568766,0,0,0.069956261,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Endeavour Mining plc,0.4908400932843141,0.39929728576343687,0.4590417788523767,0.39701417733977884,0.3934207186024739,0,0,0.2196265785698624,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Osisko Gold Royalties Ltd,-1.371859724,-1.43010755,-1.32430467,-1.349905065,-1.347768695,0,0,-0.122573112,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Eldorado Gold Corporation,-1.561924388,-1.625421562,-1.495064909,-1.542922685,-1.545505933,0,0,-0.33106302,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,IAMGOLD Corporation,-0.029612583,-0.07988189,-0.007584905,0.009007989,0.008525106,0,0,-0.000825465,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,"Coeur Mining, Inc.",0.7502909445848724,0.6893475895941359,0.6330383636024418,0.5530675611726065,0.5534326664093558,0,0,-0.00958331,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Equinox Gold Corp.,-2.686343395,-2.876000413,-2.721486717,-2.748303441,-2.744033175,0,0,-0.169753937,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Orla Mining Ltd.,0.05960726,-0.037971149,0.022644385,-0.06126672,-0.065170852,0,0,0.15973334000318926,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Sandstorm Gold Ltd.,-0.063105636,-0.167857747,-0.029235576,-0.015769315,-0.017244979,0,0,0.102072548,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Centerra Gold Inc.,-1.255914982,-1.397434324,-1.373829465,-1.343083452,-1.341330062,0,0,-0.052160064,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Seabridge Gold Inc.,-0.020472734,0.055427888,0.038633698,0.20645886685138212,0.205731994,0,0,0.040875644,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,DRDGOLD Limited,-1.513257915,-1.454014131,-1.445391113,-1.394217848,-1.397186115,0,0,-0.054583249,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,Caledonia Mining Corporation Plc,0.11139250277703677,-0.071546577,-0.117718004,-0.17170694,-0.172275443,0,0,0.030758872,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,"Idaho Strategic Resources, Inc.",1.0695808541406033,0.804215289,0.9245366340537716,0.615448334,0.6233536864232351,0,0,-0.127797903,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,"Contango Ore, Inc.",-0.045994242,-0.153481096,0.063675235,-0.046728182,-0.049836956,0,0,0.074096355,-2.037626421,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Newmont Corporation,1.031188786,1.19866036,1.125536536,1.27960503,0.788759624,-0.823688004,0,0.1997043,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Agnico Eagle Mine,0.457808157,0.636911744,0.61057723,0.644957849,0.228374281,-0.798806322,0,-0.018534719,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Barrick Gold Cor,0.209883633,0.365664455,0.296128976,0.409333143,-0.055220574,-0.770414745,0,0.027247319,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Wheaton Precious Metals Corp.,-1.598265907,-1.493309193,-1.532547048,-1.404508645,-1.884040887,-0.823028114,0,-0.149128218,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Franco-Nevada Corporation,-0.045305331,0.103508919,0.06986029,0.00184686,-0.137210594,-0.820818466,0,0.276607587,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Gold Fields Limited,-1.458461677,-1.322236999,-1.394837972,-1.324819719,-1.568837664,-0.687537122,0,-0.19329093,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,AngloGold Ashant,-0.195395923,-0.124441516,-0.114051096,-0.132608877,-0.355678835,-0.734297317,0,0.009313705,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Kinross Gold Corporation,-1.321307082,-1.053593614,-1.192546399,-1.115975472,-1.434247522,-0.830676489,0,-0.230375986,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Alamos Gold Inc.,-1.732438051,-1.598344822,-1.623949504,-1.648547791,-1.874687942,-0.820048481,0,-0.260735719,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Harmony Gold Mining Company Limited,-1.154132968,-1.049744989,-1.081488668,-1.096308812,-1.246958613,-0.734791483,0,-0.331205715,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Pan American Silver Corp.,0.5029532410180089,0.7505396750063241,0.6853969347277609,0.7555787586443318,0.17139375410568766,-0.803128868,0,0.069956261,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Endeavour Mining plc,0.5232525916208356,0.6530265532171579,0.5580087451877795,0.4610501408056826,0.3934207186024739,-0.75651554,0,0.2196265785698624,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Osisko Gold Royalties Ltd,-1.232425549,-1.154359564,-1.175986488,-1.230975176,-1.347768695,-0.737993925,0,-0.122573112,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Eldorado Gold Corporation,-1.403733984,-1.213364498,-1.369472423,-1.435641767,-1.545505933,-0.820945225,0,-0.33106302,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,IAMGOLD Corporation,-0.029612583,0.2982888501909366,-0.025959094,-0.207183741,0.008525106,-0.822139185,0,-0.000825465,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,"Coeur Mining, Inc.",0.7142611419689234,0.8415943377604547,0.7266237605447251,0.6259225660642482,0.5534326664093558,-0.860249877,0,-0.00958331,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Equinox Gold Corp.,-2.588814072,-2.157080379,-2.501788078,-2.159820097,-2.744033175,-0.778079429,0,-0.169753937,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Orla Mining Ltd.,0.16107433462535026,0.028961046,0.14063598846620373,0.10653678615792739,-0.065170852,-0.753118383,0,0.15973334000318926,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Sandstorm Gold Ltd.,0.1912224628239853,0.43404325408450434,0.37165467113411055,0.372997694,-0.017244979,-0.805169899,0,0.102072548,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Centerra Gold Inc.,-1.085830507,-1.079719827,-1.049134047,-1.040754707,-1.341330062,-0.757303931,0,-0.052160064,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Seabridge Gold Inc.,0.34264056407356214,0.4988076809609777,0.38633953868729115,0.3298865919152774,0.205731994,-0.78849126,0,0.040875644,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,DRDGOLD Limited,-1.324113434,-1.206145695,-1.218477123,-1.176397376,-1.397186115,-0.831430668,0,-0.054583249,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,Caledonia Mining Corporation Plc,0.059857149140886995,-0.015851637,0.15803329103116676,0.027287549,-0.172275443,-0.759039689,0,0.030758872,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,"Idaho Strategic Resources, Inc.",1.3664859654109238,1.099352917531017,0.9245366340537716,0.6798783581147851,0.6233536864232351,-0.757843621,0,-0.127797903,-1.707209101,1,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,"Contango Ore, Inc.",-0.048236362,-0.155682669,-0.010168765,-0.11826056,-0.049836956,-0.534562593,0,0.074096355,-1.707209101,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Newmont Corporation,1.516425828,1.630959309,1.594643366,1.676006838,1.277023783,3.314010303,0,0.1997043,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Agnico Eagle Mine,0.929866919,1.06741073,1.052886962,1.157736868,0.64766743,1.692925759,0,-0.018534719,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Barrick Gold Cor,0.655777158,1.156964017,0.784292181,1.162496667,0.410610474,2.3610171,0,0.027247319,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Wheaton Precious Metals Corp.,-1.14395932,-0.959070454,-1.002788443,-0.959235659,-1.402587015,2.076167969,0,-0.149128218,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Franco-Nevada Corporation,0.281625706,0.203057195,0.208019342,0.304679549,-0.004140003,0.302531987,0,0.276607587,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Gold Fields Limited,-1.141552482,-1.010519082,-1.060513597,-0.930592603,-1.322010484,1.052423698,0,-0.19329093,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,AngloGold Ashant,0.083070104,0.16166123742683786,0.1263977600353914,0.2300953016458995,-0.134064322,1.1992873212474122,0,0.009313705,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Kinross Gold Corporation,-0.949803373,-0.721601611,-0.857498857,-0.657095047,-1.115189463,1.7394507683340241,0,-0.230375986,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Alamos Gold Inc.,-1.498275985,-1.248938785,-1.432016102,-1.201026394,-1.646227106,0.7549597435111585,0,-0.260735719,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Harmony Gold Mining Company Limited,-0.8800882,-0.840893441,-0.872081228,-0.771079466,-1.096055662,0.5213809699086911,0,-0.331205715,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Pan American Silver Corp.,1.024864355266199,1.1396405956926832,1.154939384423128,1.2625347532822213,0.7550197054450017,2.4070360876220023,0,0.069956261,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Endeavour Mining plc,0.6042838374621395,0.6688846324330151,0.6074922283554806,0.7812299581352047,0.45760576168233735,-0.134463012,0,0.2196265785698624,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Osisko Gold Royalties Ltd,-1.119550264,-1.101836138,-1.108569133,-0.999722614,-1.229000294,0.2136720982839903,0,-0.122573112,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Eldorado Gold Corporation,-1.245543579,-1.234073341,-1.176813551,-1.13030377,-1.437609749,0.007925886,0,-0.33106302,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,IAMGOLD Corporation,-0.06627578,0.20824819775675565,0.084286037,0.40535949278030875,-0.207378164,0.39178760596788204,0,-0.000825465,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,"Coeur Mining, Inc.",0.8223505498167705,0.8415943377604547,0.8950774750408339,0.9173425856308149,0.6262013190967041,-0.306138746,0,-0.00958331,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Equinox Gold Corp.,-1.808579485,-1.477020888,-1.762801745,-1.335943415,-2.156222697,2.0171381019441403,0,-0.169753937,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Orla Mining Ltd.,0.27945258805061507,0.21302457958885682,0.073212215,-0.044486369,0.10284775102578024,0.607984234,0,0.15973334000318926,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Sandstorm Gold Ltd.,0.6305164514938731,0.7633853111578227,0.6546360217491459,0.8303706443985782,0.3711446822932917,1.3278544481998942,0,0.102072548,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Centerra Gold Inc.,-0.847712241,-0.828892592,-0.804188381,-0.688037838,-1.039416437,0.8013165414610615,0,-0.052160064,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Seabridge Gold Inc.,0.557207513,1.0776646331226944,0.72556475,1.243251757,0.3289946153922264,-0.092876712,0,0.040875644,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,DRDGOLD Limited,-1.040396713,-1.003937234,-1.060324948,-0.912372562,-1.179345758,0.9708322168960146,0,-0.054583249,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Caledonia Mining Corporation Plc,0.16865400681720308,0.084399256,0.3498602787271898,0.1409986853163496,0.026467815,0.4347330093509037,0,0.030758872,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,"Idaho Strategic Resources, Inc.",0.6454306951830057,0.7831340296520075,0.9245366340537716,0.7443083821589863,0.6880413331275336,-0.499439171,0,-0.127797903,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,"Contango Ore, Inc.",-0.117742058,-0.223931436,-0.010168765,-0.11826056,-0.121395186,-0.076377386,0,0.074096355,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Newmont Corporation,1.506013016,1.509915603,1.530963706,1.614389976,1.672969087,2.531672388,0,0.1997043,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Agnico Eagle Mine,0.956996733,0.811728289,0.873792224,0.904018082,1.160433574,2.248407433,0,-0.018534719,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Barrick Gold Cor,1.013953924,0.993001045,0.954409662,1.090766807,1.163106782,4.288052081,0,0.027247319,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Wheaton Precious Metals Corp.,-1.186144931,-1.096261671,-1.091081544,-0.952782427,-0.956676716,1.862133358,0,-0.149128218,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Franco-Nevada Corporation,0.152299178,0.048558271,0.115243932,0.136615334,0.300249013,1.748761612,0,0.276607587,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Gold Fields Limited,-1.120771551,-1.036280893,-1.076433805,-0.967387134,-0.928137325,2.088996101,0,-0.19329093,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,AngloGold Ashant,0.008213646,0.072254127,0.070444253,0.15515642168535118,0.22830535332715915,2.4273748616652298,0,0.009313705,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Kinross Gold Corporation,-0.80827815,-0.905070876,-0.813413655,-0.815938271,-0.654327822,2.8817295495352226,0,-0.230375986,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Alamos Gold Inc.,-1.399207419,-1.387805287,-1.372434661,-1.264958022,-1.198443867,2.2669676392288474,0,-0.260735719,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Harmony Gold Mining Company Limited,-0.842718459,-0.877749596,-0.878426908,-0.796097108,-0.769099269,1.9869154987474291,0,-0.331205715,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Pan American Silver Corp.,0.9247718128076415,0.7679102518226785,0.7110750374454765,0.9245640901902942,1.2612976391369348,1.9815925392806852,0,0.069956261,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Endeavour Mining plc,0.620490087,0.5261619194902973,0.6074922283554806,0.6051310586039679,0.7785309770816583,2.3537470998301906,0,0.2196265785698624,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Osisko Gold Royalties Ltd,-1.1593886,-1.082139854,-1.054635249,-0.986508182,-0.998061736,1.112467787367049,0,-0.122573112,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Eldorado Gold Corporation,-1.295498444,-1.372675836,-1.2857441,-1.270594201,-1.130520613,1.5381494635492885,0,-0.33106302,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,IAMGOLD Corporation,0.15370340563444762,0.316296981,0.15778279135731707,0.4774234026079194,0.40434776802693917,2.617320055334633,0,-0.000825465,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,"Coeur Mining, Inc.",0.7322760432768983,0.6983032806627427,0.7827749987100945,0.8627013319620832,0.9172759298460967,1.3561946456682727,0,-0.00958331,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Equinox Gold Corp.,-1.555003245,-1.593602515,-1.583048313,-1.473256196,-1.333288027,3.135225114267434,0,-0.169753937,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Orla Mining Ltd.,-0.278616321,-0.071437246,-0.213338821,0.022635033,-0.048368992,0.47187396863972464,0,0.15973334000318926,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Sandstorm Gold Ltd.,0.7229993964770073,0.8315250471040272,0.7489631386208244,0.9904511771917679,0.8280736959357021,1.7042705094750883,0,0.102072548,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Centerra Gold Inc.,-0.779678451,-0.695118067,-0.735140977,-0.553669507,-0.687183874,1.0610866202831606,0,-0.052160064,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Seabridge Gold Inc.,1.1266351849737046,0.9586089479263119,1.0139061787238635,1.0704529422986477,1.2411380157912526,4.359056395260812,0,0.040875644,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,DRDGOLD Limited,-1.033641553,-0.852280888,-1.005315496,-0.813363257,-0.91529684,1.3531304045594246,0,-0.054583249,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Caledonia Mining Corporation Plc,0.1743801572212196,0.08996875,0.086098171,0.067086447,0.14003539176145965,-0.076883861,0,0.030758872,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,"Idaho Strategic Resources, Inc.",0.7726757428702846,0.6777277336923383,0.9245366340537716,0.9805518036543964,0.7527289798318302,-0.499439177,0,-0.127797903,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,"Contango Ore, Inc.",-0.124468415,-0.135868512,-0.204009266,-0.306033053,-0.121395186,-0.534562593,0,0.074096355,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2023,Newmont Corporation,1.872543999,1.922888246,1.828135453,1.918366492,1.611423185,-0.302129394,0,0.1997043,-1.302447885,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2023,Agnico Eagle Mine,1.089932821,1.087196784,1.088163198,1.104322387,0.906721159,0.70892965,0,-0.018534719,-1.302447885,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2023,Barrick Gold Cor,1.3502015,1.235381091,1.091243287,1.277264442,1.091440467,-0.288656,0,0.027247319,-1.302447885,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2023,Wheaton Precious Metals Corp.,-0.715613109,-0.605601318,-0.721558567,-0.523642521,-0.950214248,-0.78411273,0,-0.149128218,-1.302447885,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2023,Franco-Nevada Corporation,0.328215387,0.267564478,0.223281097,0.132651555,0.131321077,0.605231211,0,0.276607587,-1.302447885,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2023,Gold Fields Limited,-0.788276657,-0.752900968,-0.779256583,-0.730850864,-0.964898819,-0.428394021,0,-0.19329093,-1.302447885,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2023,AngloGold Ashant,0.26272560584221194,0.21184842873325782,0.26401314304363843,0.26007085363011817,0.15343558563142806,-0.081059263,0,0.009313705,-1.302447885,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2023,Kinross Gold Corporation,-0.746360866,-0.669181822,-0.751694371,-0.586498059,-0.813856852,0.45438713948265264,0,-0.230375986,-1.302447885,0,0,0,0,0,0,0,0,0,0,0,0
